date,millions_of_miles
1/1/2018,244736
2/1/2018,227759
3/1/2018,270705
4/1/2018,275127
5/1/2018,283713
6/1/2018,282648
7/1/2018,290989
8/1/2018,284989
9/1/2018,267434
10/1/2018,281382
11/1/2018,260473
12/1/2018,270370
1/1/2019,248927
2/1/2019,231791
3/1/2019,272379
4/1/2019,273413
5/1/2019,289711
6/1/2019,281359
7/1/2019,291520
8/1/2019,293308
9/1/2019,273319
10/1/2019,283961
11/1/2019,260326
12/1/2019,261757
1/1/2020,260847
2/1/2020,242695
3/1/2020,226638
4/1/2020,167617
5/1/2020,221006
6/1/2020,250330
7/1/2020,265550
8/1/2020,265060
9/1/2020,257531
10/1/2020,266596
11/1/2020,238300
12/1/2020,241451
1/1/2021,224959
2/1/2021,207160
3/1/2021,262065
4/1/2021,252218
5/1/2021,276639
6/1/2021,279209
7/1/2021,288443
8/1/2021,279596
9/1/2021,270461
10/1/2021,277877
11/1/2021,260433
12/1/2021,261028
1/1/2022,234099
2/1/2022,229249
3/1/2022,269447
4/1/2022,255909
5/1/2022,280251
6/1/2022,274615
7/1/2022,279323
8/1/2022,281617
9/1/2022,273172
10/1/2022,278039
11/1/2022,257015
12/1/2022,256492
1/1/2023,247410
2/1/2023,233736
3/1/2023,271413
4/1/2023,256133
5/1/2023,287341
